Joshua,0x1000005
Slithe,0x1000655
a valiant warrior,0x1000656
job,0x1000657
I fight battles!,0x1000658
heal,0x1000659
Only minor wounds!,0x100065a
batt,0x100065b
"True valor is seen not in the force of arms, but in the force of will!<q>Art thou valiant?<y>Then never flee unless the need is dire!<n>Coward.",0x100065c
valo,0x100065d
I display my valor in battle.,0x100065e
Timrod,0x100065f
a thin fighter,0x1000660
job,0x1000661
I fight with valor!,0x1000662
heal,0x1000663
Couldn't be better!,0x1000664
valo,0x1000665
There is no holier spot of ground than where defeated valor lies.<q>Art thou brave?<y>Fortune helps the brave!<n>Coward.,0x1000666
brav,0x1000667
Be brave for there is much to dare!,0x1000668
Ian,0x1000669
an old warrior,0x100066a
job,0x100066c
I engrave tombstones.,0x100066d
heal,0x100066e
This tombstone is to be my own.,0x100066f
tomb,0x1000670
I have made many for the warriors that have gone.,0x1000671
warr,0x1000672
Few understood that there's more to valor than battle.<q>Art thou a warrior?<y>Then learn the true nature of valor.<n>Valor does not require thee to be.,0x1000673
Katrina,0x1000674
a shepherd,0x1000675
job,0x1000676
A survivor.,0x1000677
heal,0x1000678
Well.,0x1000679
surv,0x100067a
Magincia was destroyed by its pride.,0x100067b
prid,0x100067c
"Pride flourishes in the absence of truth, love and courage.<q>Art thou proud?<y><@lose_humility>Thy efforts are meaningless.<n><@gain_humility>Humility is the virtue that must overcome pride!",0x100067d
Ghostly,0x100067e
a shadowy ghost,0x100067f
job,0x1000680
I haunt Magincia,0x1000681
heal,0x1000682
Undead in search of peace.,0x1000683
peac,0x1000684
"Peace I can never find, forever banished unto the realm of earthbound spirits.",0x1000685
spir,0x1000686
Be not proud of thy little deeds lest ye too fall from the light!,0x1000687
Skullface,0x1000688
a jabbering skeleton,0x1000689
job,0x100068a
I am a nobleman of great birth.,0x100068b
heal,0x100068c
Most superb.,0x100068d
nobl,0x100068e
"Me and my brother are the last two of the great Meridid family.<q>Thou hast heard of us of course, yes?<y>I thought so.<n>You must not be from near these parts!",0x100068f
Casperin,0x1000690
a small ghost,0x1000691
job,0x1000692
To haunt this shop.,0x1000693
heal,0x1000694
Feeling a bit translucent.,0x1000695
haun,0x1000696
A lot of haunting goes on round here.<q>Know thee why?<y>Pride is the surest measure of goals never attained!<n>Pride!,0x1000697
prid,0x1000698
"Seek ye the mantra for humility, ask ye Heywood!",0x1000699
Faultless,0x100069a
a tall ghost,0x100069b
job,0x100069c
"Oh, I just hang around!",0x100069d
heal,0x100069e
Been better.,0x100069f
hang,0x10006a0
I was hung for my sin of pride!<q>Art thou proud?<y><@lose_humility>A grave sin!<n><@gain_humility>Pride is evil's favorite sin!,0x10006a1
mant,0x10006a2
"The mantra for pride, being the antithesis of humility, is 'MUL'.",0x10006a3
Heywood,0x10006a4
a tall ghost,0x10006a5
job,0x10006a6
Haunt eternally.,0x10006a7
heal,0x10006a8
As well as can be expected.,0x10006a9
haun,0x10006aa
"Pride goeth before, shame cometh after!<q>Art thou proud?<y><@lose_humility>Thou shalt find shame!<n><@gain_humility>A proud soul surely knows not its worth!",0x10006ab
mant,0x10006ac
"Faultless knows the mantra of pride, ask him!",0x10006ad
Slim,0x10006ae
a skinny skeleton,0x10006af
job,0x10006b0
I rattle my bones.,0x10006b1
heal,0x10006b2
A bit on the thin side.,0x10006b3
bone,0x10006b4
"I did value myself far too greatly, that pride was my downfall.<q>Art thou always humble?<y><@lose_humility>Doubtful.<n><@gain_humility>Take no pride in humility, lest ye destroy it!",0x10006b5
prid,0x10006b6
A terrible thing!,0x10006b7
Banter,0x10006b8
a crumbling skeleton,0x10006b9
job,0x10006ba
I once held a silver daemon horn.,0x10006bb
heal,0x10006bc
A bit bony.,0x10006bd
horn,0x10006be
Silver daemon horns can keep the daemon guards of the shrine at bay.,0x10006bf
shri,0x10006c0
Wierdrum has been to the shrine of humility!<q>Seek ye such a horn?<y>Ask Demitry!<n>Oh.,0x10006c1
Demitry,0x10006c2
a thin skeleton,0x10006c3
job,0x10006c4
I rattle my bones.,0x10006c5
heal,0x10006c6
'bout the same as yesterday.,0x10006c7
bone,0x10006c8
"Bones, them bones, them dry bones...<q>Art thou dead?<y>Ah, too bad!<n>Watch out for Nate!",0x10006c9
horn,0x10006ca
"The queen of love has a lady in waiting, she can tell thee more of the silver daemon horns!",0x10006cb
Wierdrum,0x10006cc
rattling bones,0x10006cd
job,0x10006ce
"I haunt, and I haunt, and I haunt!",0x10006cf
heal,0x10006d0
Haunted.,0x10006d1
haun,0x10006d2
"A haunting job takes more than a lifetime, it takes forever!",0x10006d3
shri,0x10006d4
"Yes, I have been to the shrine, it lies on the north bank in the isle of the abyss!",0x10006d5
Boozer,0x10006d6
a dumpy ghost,0x10006d7
job,0x10006d8
I was once a powerful merchant!,0x10006d9
heal,0x10006da
Hic...,0x10006db
merc,0x10006dc
"My wealth was boundless, I held great power!",0x10006dd
powe,0x10006de
A proud soul surely knows not its worth!<q>Dost thou see?<y>The world goes on without me.<n>The world goes on without me.,0x10006df
Bulbous,0x10006e0
a fat skeleton,0x10006e1
job,0x10006e2
I run this shop.,0x10006e3
heal,0x10006e4
Couldn't be better.,0x10006e5
shop,0x10006e6
"Why, the food shop of course.<q>Can I interest thee in some rations?<y>Hmmm, our stock seems to have spoiled....<n>I sell only the very best.",0x10006e7
spoi,0x10006e8
"Well, we're expecting more any day!",0x10006e9
Splot,0x10006ea
a weeping skeleton,0x10006eb
job,0x10006ec
I regret.,0x10006ed
heal,0x10006ee
Been better.,0x10006ef
regr,0x10006f0
"I was proud, strip thyself of conceits, only the humble are pure!",0x10006f1
humb,0x10006f2
The root from which all virtues grow!<q>Dost thou seek purity?<y>Then ask the snake of the stones!<n>Fool!,0x10006f3
Ruskin,0x10006f4
a blue ghost,0x10006f5
job,0x10006f6
I now try to understand humility.,0x10006f7
heal,0x10006f8
Not well.,0x10006f9
humi,0x10006fa
The first test of a great soul is humility!<q>Dost thou seek to know humility?<y>Thou shalt need a rune!<n>A shame.,0x10006fb
rune,0x10006fc
Ask Adric to carve one for thee!,0x10006fd
Nate,0x10006fe
a mean looking viper!,0x10006ff
job,0x1000701
I bring death to all life in Magincia!,0x1000702
heal,0x1000703
Bloodthirsty!,0x1000704
ston,0x1000705
Those who seek the black stones need ask at the pub in Britain!,0x1000706
blac,0x1000707
Those who seek the black stones need ask at the pub in Britain!,0x1000708
Virtuebane,0x1000709
a horrible ghastly devil!,0x100070a
job,0x100070b
I welcome thee to Magincia! Proud city of the high seas!,0x100070c
heal,0x100070d
Devilish!,0x100070e
magi,0x100070f
"Magincia fell unto the realm of darkness, for the foundation of their virtue was ill-placed in pride!<q>Art thou proud?<y><@lose_humility>Good!<n><@gain_humility>Ah.",0x1000710
Adric,0x1000711
a skeletal shepherd,0x1000712
job,0x1000714
I teach humility.,0x1000715
heal,0x1000716
Inconsequential.,0x1000717
humi,0x1000718
The concept of Humility is not easily mastered.,0x1000719
conc,0x100071a
"I could tell thee what humility is, but its true meaning would escape thee.<q>Art thou humble?<y>Claiming so borders pride.<n>Perhaps thou hast low self-esteem.",0x100071b
Julia,0x100071c
an agile tinker,0x100071d
job,0x100071e
I care for the poor.,0x100071f
heal,0x1000720
Well.,0x1000721
poor,0x1000722
Within this house are many poor and destitute souls.<q>Wilt thou help?<y>Then know ye that the symbol of sacrifice is a tear.<n>Bum.,0x1000723
Zircon,0x1000724
a seasoned blacksmith,0x1000725
job,0x1000726
I forge weapons.,0x1000727
heal,0x1000728
Quite well.,0x1000729
weap,0x100072a
I make the very best!<q>Seek thee a weapon?<y>Ask at the counter!<n>Hmmm.,0x100072b
myst,0x100072c
"Ah, yes, the mystic weapons and armour, my greatest work! Their secret locations I trust to Sir Simon and Lady Tessa. Speak my name unto each!",0x100072d
Bob the Beggar,0x100072e
a sickly little man,0x100072f
job,0x1000730
"I have none, help me.",0x1000731
heal,0x1000732
"I am very sick, help me!",0x1000733
help,0x1000734
I need money to cure my sickness.,0x1000735
sick,0x1000736
I have terminal leg rot.<q>Hast thou any money?<y>Then please share it with me!<n>Then join me and we can beg together!,0x1000737
Linda Sue,0x1000738
a small muddy girl,0x1000739
job,0x100073a
I'm an undernourished beggar girl.,0x100073b
heal,0x100073c
I am hungry.,0x100073d
hung,0x100073e
"I have not eaten in days.<q>Could thou spare a nibble of food?<y>I would greatly appreciate that.<n>Oh, I see.",0x100073f
food,0x1000740
"Oh, thou art a kind soul!",0x1000741
Gimble,0x1000742
a fading man,0x1000743
job,0x1000745
I shall die soon.,0x1000746
heal,0x1000747
I am barely conscious.,0x1000748
die,0x1000749
I suffer from a tsetse bite!,0x100074a
cons,0x100074b
I will soon sleep forever.<q>Could thou spare a gold piece so I may buy a last drink?<y>In return I shall tell thee that Alkerion knows of the stones!<n>I am saddened.,0x100074c
Jude,0x100074d
a ragged soul,0x100074e
job,0x100074f
To redeem myself!,0x1000750
heal,0x1000751
Ailing.,0x1000752
rede,0x1000753
I will not speak of my sin!,0x1000754
shar,0x1000755
"I used one!<q>If I help thee, wilt thou swear to only ever use one at the mouth of the abyss to destroy it?<y>Search for one at lat-P'F"" long-M'F"" on the darkest night!<n>Oh.",0x1000756
Alkerion,0x1000757
an old ragged man,0x1000758
job,0x1000759
"I am a peasant, I hear many things.",0x100075a
heal,0x100075b
Old and weak.,0x100075c
hear,0x100075d
What dost thou wish to know?,0x100075e
ston,0x100075f
The stones of sacrifice are orange in color and used in the altar rooms of love and courage!<q>Seeketh thou?<y>Find the altar of sacrifice in the dungeon Covetous.<n>Oh.,0x1000760
Mike Ward,0x1000761
a stocky ranger,0x1000762
job,0x1000763
I am trying to get a room.,0x1000764
heal,0x1000765
Well enough.,0x1000766
room,0x1000767
I have travelled clear from Skara Brae.,0x1000768
skar,0x1000769
I seek the ivory serpent!<q>Hast thou seen it?<y>I hear it is the quest of a lifetime!<n>I feel it is very close!,0x100076a
Alex,0x100076b
a teenage boy,0x100076c
job,0x100076d
I give out flowers. Here you are!,0x100076e
heal,0x100076f
"Fine, thanks.",0x1000770
flow,0x1000771
"The way I figure it, if thou art kind to others they will have reason to be kind in return!",0x1000772
kind,0x1000773
"Yes, give all that thou can unto the needy!<q>Wilt thou give?<y>Good.<n>Alas.",0x1000774
Shentis,0x1000775
a rotund tinker,0x1000776
job,0x1000777
"I welcome thee unto Minoc, city of sacrifice!",0x1000778
heal,0x1000779
OK.,0x100077a
sacr,0x100077b
Self-sacrifice is a needed virtue!,0x100077c
virt,0x100077d
Avatars strive to be virtuous.<q>Dost thou strive for virtue?<y>Then perhaps thou shalt become an avatar!<n>An avatar thou art not!,0x100077e
Singsong,0x100077f
a cute bard,0x1000780
job,0x1000781
I sing songs!,0x1000782
heal,0x1000783
Very well indeed!,0x1000784
sing,0x1000785
Songs!,0x1000786
song,0x1000787
"Very well, the raven sings, the raven saw and in the corn he sayeth 'CAH'.<q>Dost thou like it?<y>Thanks.<n>Too bad...",0x1000788
Damon,0x1000789
a meek shepherd,0x100078a
job,0x100078b
I stand here and think.,0x100078c
heal,0x100078d
Fine.,0x100078e
thin,0x100078f
"Oh, just about things.<q>Can't a man just think to himself?<y>Well I hope so!<n>Oh, yes I can thou bandersnatch!",0x1000790
mant,0x1000791
"Listen to the bard's song, for in its verse lies the key!",0x1000792
Mischief,0x1000793
a happy tinker,0x1000794
job,0x1000795
This and that.,0x1000796
heal,0x1000797
O.K. I guess.,0x1000798
this,0x1000799
And that...,0x100079a
soap,0x100079b
"Ask Turlough, for he uses it to make pottery!<q>Hast thou already found some?<y>Then ask my sister, Azure, to carve thee a rune.<n>Return when thou hast!",0x100079c
Azure,0x100079d
a tinker at the table,0x100079e
job,0x10007a0
I carve runes.,0x10007a1
heal,0x10007a2
O.K.,0x10007a3
rune,0x10007a4
I carve runes for passage into the shrine!<q>Dost thou need a rune?<y>Which?<n>I see.,0x10007a5
sacr,0x10007a6
"Ask my sister, Mischief, for help obtaining some soapstone.",0x10007a7
Merida,0x10007a8
a wandering tinker,0x10007a9
job,0x10007aa
I seek the wisdom of the shrine of sacrifice.,0x10007ab
heal,0x10007ac
Been better.,0x10007ad
shri,0x10007ae
But first I need the mantra!<q>Know ye the mantra?<y>Good!<n>The shrine is on a lake to the east!,0x10007af
mant,0x10007b0
I am told that a hidden shepherd knows the mantra.,0x10007b1
a guard,0x10007b2
a massive guard,0x10007b3
job,0x10007b4
To guard of course.,0x10007b5
heal,0x10007b6
Quite.,0x10007b7
guar,0x10007b8
"I often wonder if I will ever have to give my life in the line of duty.<q>Understand my dilemma?<y>Of course, if it came down to it, I hope I would do it!<n>Too bad.",0x10007b9
life,0x10007ba
One life for many!,0x10007bb
Turlough,0x10007bc
an old man with a turning wheel,0x10007bd
job,0x10007bf
I am a potter.,0x10007c0
heal,0x10007c1
Frail.,0x10007c2
pott,0x10007c3
I make pottery for the poor.,0x10007c4
soap,0x10007c5
"I fire the soapstone in Zircon's forge. Alas, the heat is too much!<q>Couldst thou retrieve some from the forge for me?<y>In return, thou can have some.<n>I shall die from the heat!",0x10007c6
Mariah,0x10007c7
a young mage,0x10007c8
job,0x10007c9
I seek adventure!,0x10007ca
heal,0x10007cb
Quite good.,0x10007cc
adve,0x10007cd
"Yes, I hope to go on a great quest!<q>Art thou on a quest?<y>I hope thou art having fun!<n>How boring!",0x10007ce
ques,0x10007cf
The Quest of the Avatar is noble indeed!,0x10007d0
Tracie,0x10007d1
starving journalist,0x10007d2
job,0x10007d3
I am a writer.,0x10007d4
heal,0x10007d5
I feel fine... if I could just quit smoking!,0x10007d6
writ,0x10007d7
"It's low paid, but glamorous!",0x10007d8
smok,0x10007d9
Cough...cough...<q>Do you smoke?<y>I can tell by the smell!<n>Don't start!,0x10007da
Cromwell,0x10007db
a regal paladin,0x10007dc
job,0x10007dd
I speak of the virtues of honesty!,0x10007de
heal,0x10007df
Well indeed.,0x10007e0
hone,0x10007e1
A few honest men are better than numbers!<q>Dost thou strive to be honest?<y>Then you will need the mantra.<n>Shame!,0x10007e2
mant,0x10007e3
The mantra of the shrine of honesty is 'AHM'.,0x10007e4
Rebelias,0x10007e5
a mystic wizard,0x10007e6
job,0x10007e7
I live an honest life.,0x10007e8
heal,0x10007e9
I've been better.,0x10007ea
hone,0x10007eb
Speak the truth and shame the evil forces!,0x10007ec
evil,0x10007ed
Evil still exists in our hearts and souls!<q>Dost thou seek to conquer thine own evil?<y>The quest of a lifetime!<n>Wretch!,0x10007ee
Christen,0x10007ef
a playful child,0x10007f0
job,0x10007f1
I am your friend.,0x10007f2
heal,0x10007f3
Feeling good.,0x10007f4
frie,0x10007f5
Honest friends are few!<q>Art thou my friend?<y>That makes me happy.<n>I am sad.,0x10007f6
hone,0x10007f7
The symbol of honesty is an open palm!,0x10007f8
Patric the Humble Shepherd,0x10007f9
a meek shepherd,0x10007fa
job,0x10007fb
I am a shepherd.,0x10007fc
heal,0x10007fd
Pretty good.,0x10007fe
humb,0x10007ff
"Humility is not derived from the direct combination of truth, love or courage.",0x1000800
humi,0x1000801
Humility is to act and be humble.<q>Art thou totally humble?<y><@lose_humility>Doubtful!<n><@gain_humility>Strive to be.,0x1000802
Shazom,0x1000803
a dying young wizard,0x1000804
job,0x1000805
I am apprentice to the great wizard Nigel!,0x1000806
heal,0x1000807
I will soon die.,0x1000808
nige,0x1000809
"I will soon need to use the spell he calls 'recall'.<q>Hast thou met Nigel?<y>Seek him out, for he will teach thee.<n>He lives at the Lycaeum.",0x100080a
die,0x100080b
Pass on.,0x100080c
Shakespeare,0x100080d
a wise wizard,0x100080e
job,0x100080f
I create tales of honesty.,0x1000810
heal,0x1000811
Getting on.,0x1000812
hone,0x1000813
"Remember, there is no terror in threats for I am strong in honesty!<q>Dost thou strive to be honest?<y>Beware corruption!<n>Fool!",0x1000814
corr,0x1000815
Corruption wins not more than honesty!,0x1000816
Browning,0x1000817
a tall mage,0x1000818
job,0x1000819
I strive to live an honest life!,0x100081a
heal,0x100081b
Been better.,0x100081c
hone,0x100081d
An honest soul need remember no lies!<q>Hast thou never lied?<y>That seems unlikely!<n>Truth never hurts the teller!,0x100081e
trut,0x100081f
Truth is the root of honesty!,0x1000820
Cosima,0x1000821
an elderly woman,0x1000822
job,0x1000823
I am an alchemist.,0x1000824
heal,0x1000825
"Tired, so tired.",0x1000826
alch,0x1000827
I know how best to mix reagents!<q>Dost thou know how to best mix spells?<y>Good!<n>The secret's in the reagents!,0x1000828
reag,0x1000829
A sleep spell actually requires but one part spider silk!,0x100082a
Daranor,0x100082b
"a hunched, insane looking man!",0x100082c
job,0x100082e
I move the sun!,0x100082f
heal,0x1000830
Health?,0x1000831
sun,0x1000832
The moons are my enemies!,0x1000833
moon,0x1000834
"When I die the world will end!<q>Do you believe my story!?!?...<y>Then we must fell the moons!<n>Idiot, you must think I am insane!",0x1000835
Inoo,0x1000836
an old gypsy,0x1000837
job,0x1000838
"I am a fortune teller, I read palms.",0x1000839
heal,0x100083a
I predict I will be fine today!,0x100083b
palm,0x100083c
Palms tell fortunes!,0x100083d
fort,0x100083e
Give thy palm.<q>Dost thou wish thy destiny?<y>A great quest will lead thee into the abyss where the codex awaits!<n>Wise choice.,0x100083f
Calabrini,0x1000840
a tall mage,0x1000841
job,0x1000842
"I bear greetings from the fair city of Moonglow.<q>Dost thou seek an inn or aid?<y>Which?<n>Perhaps, the shrine which lies on an isle to the north!",0x1000843
heal,0x1000844
Fine.,0x1000845
inn,0x1000846
We have an excellent inn.,0x1000847
aid,0x1000848
Our healer is one of the best!,0x1000849
Dekker,0x100084a
a bouncy jester,0x100084b
job,0x100084c
"I earn an honest living, jesting!",0x100084d
heal,0x100084e
Very good.,0x100084f
hone,0x1000850
Honest labor bears a lovely face!,0x1000851
jest,0x1000852
I love a good jest.<q>Dost thou?<y>We ought to exchange jokes sometime!<n>Thou art probably a sourpuss!,0x1000853
William,0x1000854
a child eating a sandwich,0x1000855
job,0x1000856
"Oh, not much.",0x1000857
heal,0x1000858
Pretty good.,0x1000859
sand,0x100085a
"It's a peanut butter and grape jelly on lightly toasted bread!<q>Wouldst thou like a bite?<y>Yummy, huh!<n>It's awful yummy!",0x100085b
rune,0x100085c
"Perhaps my mother, Peri, can carve one for thee!",0x100085d
Tyrone,0x100085e
a battered mage,0x100085f
job,0x1000860
I used to search for the blue stones.,0x1000861
heal,0x1000862
Fading.,0x1000863
ston,0x1000864
The blue stones of honesty are found in a well in the dungeon of Deceit.<q>Wilt thou search?<y>Know the stone's uses!<n>Hmm.,0x1000865
use,0x1000866
They are used within the dungeon altar rooms and in the abyss.,0x1000867
Peri,0x1000868
a beaming woman,0x1000869
job,0x100086b
I am a gemstone cutter.,0x100086c
heal,0x100086d
Good.,0x100086e
gems,0x100086f
"Mainly for jewelry, but some have special uses!",0x1000870
spec,0x1000871
"When cut precisely, the refraction of light through a gemstone can be controlled.<q>Know ye of Palamar's telescope?<y>I helped build it!<n>It can be found at the Lycaeum!",0x1000872
Shamino,0x1000873
a solemn ranger,0x1000874
job,0x1000875
I seek the inner light.,0x1000876
heal,0x1000877
I am well.,0x1000878
ligh,0x1000879
"I seek the ""one great truth""!",0x100087a
trut,0x100087b
"That which lies within the codex!<q>Dost thou seek this ""truth""?<y>Some things take forever but brick by brick mountains can be built!<n>Alas.",0x100087c
Emerson,0x100087d
an injured man,0x100087e
job,0x100087f
I seek the spiritual path.,0x1000880
heal,0x1000881
I am grievously wounded.,0x1000882
spir,0x1000883
Spiritual is stronger than any material force.,0x1000884
woun,0x1000885
Nothing can bring thee peace but the triumph of principles!<q>Art thou good in spirit?<y>A good path.<n>An evil path!,0x1000886
Santayana,0x1000887
a tall ranger,0x1000888
job,0x1000889
I carry the light within my heart.,0x100088a
heal,0x100088b
I am alive.,0x100088c
ligh,0x100088d
The light of philosophy.,0x100088e
phil,0x100088f
"In philosophical minds the familiar excites wonder!<q>Dost thou always tread the right path?<y>Doubtful!<n>Few can, but strive to do so!",0x1000890
Presto,0x1000891
a very small wizard,0x1000892
job,0x1000893
I cast great big spells!,0x1000894
heal,0x1000895
Superior!,0x1000896
spel,0x1000897
"I can cast jinx, kill, and view!<q>Dost thou know what these spells have in common?<y>What?<n>Guess!",0x1000898
nigh,0x1000899
"Yes, ask the barkeep at 'The Axe-n-Ale' in Vesper about nightshade.",0x100089a
Granted,0x100089b
a hungry beggar,0x100089c
job,0x100089e
I beg for food and money.,0x100089f
heal,0x10008a0
I am not at all well.,0x10008a1
food,0x10008a2
To eat!,0x10008a3
mone,0x10008a4
To buy food!<q>Wilt thou give me food or money?<y>In return I will tell thee that the symbol of Spirituality is that which stands in the middle of our town!<n>Jerk!,0x10008a5
Mitre,0x10008a6
a radiant ranger,0x10008a7
job,0x10008a8
I am reading the wizard's journal.,0x10008a9
heal,0x10008aa
I am fine.,0x10008ab
jour,0x10008ac
It tells of the white stones.,0x10008ad
ston,0x10008ae
They cannot be found in the dungeon Hythloth.<q>Dost thou need one?<y>Ask of the white stones at the Tap in Trinsic!<n>Too bad.,0x10008af
Buddha,0x10008b0
a great philosopher,0x10008b1
job,0x10008b2
I teach.,0x10008b3
heal,0x10008b4
I am well.,0x10008b5
teac,0x10008b6
"When one has pity on all living creatures, then is one noble.",0x10008b7
nobl,0x10008b8
"If one speaks or acts with pure thought, happiness will follow like a shadow that never leaves.",0x10008b9
Michaelangelo,0x10008ba
a skilled ranger,0x10008bb
job,0x10008bc
I strive along the path.<q>Art thou far along the path?<y>This is good.<n>Fear not thou shalt be.,0x10008bd
heal,0x10008be
Well.,0x10008bf
path,0x10008c0
"Success is a journey, not a destination.",0x10008c1
jour,0x10008c2
May thou always desire more than thou can accomplish!,0x10008c3
Romasco,0x10008c4
"a short, dumpy man with a book",0x10008c5
job,0x10008c6
"I am a teacher, I enrich young minds.",0x10008c7
heal,0x10008c8
I am fine.,0x10008c9
teac,0x10008ca
I teach of the abyss.<q>Know ye of the abyss?<y>A word of passage is needed at the last gate!<n>Learn!,0x10008cb
word,0x10008cc
Seek Zair the Wise in Paws for more on the word.,0x10008cd
Carlyle,0x10008ce
a wise mage,0x10008cf
job,0x10008d0
I write magic.<q>Dost thou believe in magic?<y>Magic missiles need but one part ash!<n>I see.,0x10008d1
heal,0x10008d2
Fine.,0x10008d3
magi,0x10008d4
One lives by believing in something.,0x10008d5
beli,0x10008d6
Great discoveries are made by those whose feelings run ahead of their thinking.,0x10008d7
Dickens,0x10008d8
a wise bard,0x10008d9
job,0x10008da
I write stories.,0x10008db
heal,0x10008dc
O.K.,0x10008dd
stor,0x10008de
Stories are good for the spirit!,0x10008df
spir,0x10008e0
"Remember, no one is useless in this world who lightens the burdens of others!<q>Art thou good in nature?<y>Be sure thy net good well exceeds thy net evil!<n>I see.",0x10008e1
White,0x10008e2
a gallant fighter,0x10008e3
job,0x10008e4
I quest.,0x10008e5
heal,0x10008e6
Excellent!,0x10008e7
ques,0x10008e8
Many quests are very dangerous!<q>Art thou fearless in all things?<y><@lose_humility>Boastful fool!<n><@gain_humility>Danger is real!,0x10008e9
the Ankh of Spirituality,0x10008ea
a silver ankh,0x10008eb
job,0x10008ec
I keep the secret of the runes.,0x10008ed
heal,0x10008ee
Strong.,0x10008ef
rune,0x10008f0
Mantra?,0x10008f1
om,0x10008f2
"If it is ivory you seek, search for it on the spiritual plane!<q>Hast thou found the shrine?<y>Good!<n>Enter the gate of full moons!",0x10008f3
Ambule,0x10008f4
a grimy beggar,0x10008f5
job,0x10008f7
I beg for but a single gold piece!,0x10008f8
heal,0x10008f9
So-so.,0x10008fa
beg,0x10008fb
"Oh, please... Oh, please...<q>Wilt thou please give me a gold piece?<y>Dear kind soul.<n>Stingy, I know thou hast many!",0x10008fc
mant,0x10008fd
Ask the child named Barren.,0x10008fe
Barren,0x10008ff
a small child,0x1000900
job,0x1000901
No job.,0x1000902
heal,0x1000903
O.K.,0x1000904
mant,0x1000905
"I know it well, it is 'OM'.",0x1000906
Isaac,0x1000907
a ghostly figure,0x1000908
job,0x1000909
I haunt this inn!,0x100090a
heal,0x100090b
I am many years dead.,0x100090c
haun,0x100090d
The quest is not complete!<q>Art thou on the quest?<y>Hope!<n>Alas.,0x100090e
ston,0x100090f
"The white stones sit atop the Serpent's Spine, and can only be reached by one who floats within the clouds.",0x1000910
Leela,0x1000911
a sleek ranger,0x1000912
job,0x1000914
I quest for rare treasures.<q>Know ye the secret of the rune?<y>The rune of spirituality must be carved from ivory!<n>Learn it from the Ankh!,0x1000915
heal,0x1000916
Good.,0x1000917
spir,0x1000918
"Indeed, treasure itself is materialistic.",0x1000919
Dupre,0x100091a
handsome paladin,0x100091b
job,0x100091c
I am towne leader.,0x100091d
heal,0x100091e
Very well.,0x100091f
lead,0x1000920
"'tis an honor!<q>Dost thou try to live honorably?<y>It is a constant quest. Honor is like a finely polished chalice. Without constant care, it will soon tarnish!<n>Fool!",0x1000921
hono,0x1000922
It gives life meaning!,0x1000923
Virgil,0x1000924
a mystic wizard,0x1000925
job,0x1000926
I create magical fields.,0x1000927
heal,0x1000928
I am well.,0x1000929
fiel,0x100092a
Poison is my favorite.<q>'tis it thine?<y>Bravo!<n>Well I don't care!,0x100092b
nigh,0x100092c
"Nightshade may be found only near lat-J'F"" long-C'O"" only on the darkest of nights!",0x100092d
Publius,0x100092e
a sleepy fighter,0x100092f
job,0x1000930
I drink a toast to honor!,0x1000931
heal,0x1000932
Tired.,0x1000933
hono,0x1000934
What is left when honor is lost?,0x1000935
noth,0x1000936
"Right, take honor from me and my life is done!<q>Dost thou strive to live an honorable life?<y>Honor gives greatness.<n>No honor, no meaning!",0x1000937
Skitle,0x1000938
a bony skeleton,0x1000939
job,0x100093a
I hail from dungeon deep.,0x100093b
heal,0x100093c
What do you mean?,0x100093d
dung,0x100093e
I come from the dungeon Shame!,0x100093f
ston,0x1000940
I have seen the purple stones used in the altars of truth and courage!<q>Ever been there?<y>Good.<n>It holds items thou shalt need.,0x1000941
Sailor Sam,0x1000942
an ugly sailor,0x1000943
job,0x1000944
I sail the the seas of Britannia!,0x1000945
heal,0x1000946
A bit waterlogged.,0x1000947
seas,0x1000948
"My specialty is navigation!<q>Is it thy specialty?<y>Good show mate!<n>Thou must not own a sextant, eh?",0x1000949
sext,0x100094a
Go to the pub in Jhelom and ask of a sextant.,0x100094b
Aristotle,0x100094c
a dignified paladin,0x100094d
job,0x100094e
I search for honor.,0x100094f
heal,0x1000950
I am well.,0x1000951
hono,0x1000952
"Dignity consists not in possessing honors, but in deserving them.",0x1000953
dign,0x1000954
"Honor no one, but honor itself!<q>Art thou honorable at all times?<y>That is impressive.<n>Strive to be as such.",0x1000955
Terrin,0x1000956
a cowering child,0x1000957
job,0x1000958
I ran from the bull!,0x1000959
heal,0x100095a
Scared!,0x100095b
bull,0x100095c
"A big one, with long, pointy horns!<q>Is it gone yet?<y>Whew, I thought it would get me!<n>Save me!",0x100095d
gran,0x100095e
The merchant Winthrop may know.,0x100095f
Rigmore,0x1000960
a strong paladin,0x1000961
job,0x1000962
I am the welcomer.,0x1000963
heal,0x1000964
Extra good.,0x1000965
welc,0x1000966
"Yes, welcome to Trinsic city of honor!",0x1000967
hono,0x1000968
Wisdom on the virtue of honor is found throughout this towne.<q>Dost thou seek this wisdom?<y>Enter and find thy path.<n>This is the wrong place!,0x1000969
Winthrop,0x100096a
a scruffy merchant,0x100096b
job,0x100096c
A trade in rumors.,0x100096d
heal,0x100096e
A bit ragged out.,0x100096f
rumo,0x1000970
About what?,0x1000971
gran,0x1000972
An architect named Nostro fortified the walls of Jhelom with granite.<q>Dost thou know him?<y>I hope that he is well.<n>He disappeared while completing his work!,0x1000973
Swindrik,0x1000974
a tall wizard,0x1000975
job,0x1000976
I cast spells.,0x1000977
heal,0x1000978
Fully healed.,0x1000979
spel,0x100097a
